Country Name,2010,2008,2010,2008,Country ID,latitude,longitude
Guyana,5937.294211,5112.8356,4880570765,4439869691,84,4.860416,-58.93018
Haiti,8545.167808,8462.3932,15200264277,14931725591,85,19.1399952,-72.3570972
Honduras,19663.71562,19785.857,31427232363,30461990353,86,15.199999,-86.241905
"Hong Kong SAR, China",55049.40297,51945.7835,3.45E+11,3.25E+11,87,22.396428,114.109497
Hungary,66250.7743,71578.8505,2.16E+11,2.08E+11,88,47.1817585,19.5060937
Iceland,5390.984736,5043.3159,12596521332,13749851532,89,53.41291,-8.24389
India,2771456.756,2438714.28,5.23E+12,4.38E+12,90,20.593684,78.96288
Indonesia,744790.0241,796581.92,2.06E+12,1.82E+12,91,-2.4833826,117.8902853
"Iran, Islamic Rep.",55049.40297,51945.7835,1.28E+12,1.18E+12,92,32.427908,53.688046
Iraq,146903.7332,137871.117,3.78E+11,3.37E+11,93,33.223191,43.679291
Ireland,65591.24598,70132.71958,1.98E+11,1.99E+11,94,53.41291,-8.24389
Israel,79072.43566,75238.54546,2.20E+11,2.01E+11,96,31.046051,34.851612
Italy,489460.1327,529283.803,2.09E+12,2.09E+12,97,41.87194,12.56738
Jamaica,14581.6781,13912.5571,22203226227,23107608374,98,18.109581,-77.297508
Japan,1350427.913,1385164.839,4.48E+12,4.46E+12,99,36.204824,138.252924
Jordan,25590.04964,24469.11527,68145614405,61948133275,100,30.585164,36.238414
Kazakhstan,347356.0816,330512.052,3.14E+11,2.83E+11,101,48.019573,66.923684
Kenya,52675.10235,53277.032,97173951010,85121369080,102,-0.023559,37.906193
Kiribati,24469.11527,24469.11527,176628828.1,173496445.5,103,-3.370417,-168.734039
"Korea, Dem. People��s Rep.",104116.6043,99381.168,97173951010,85121369080,104,36.638392,127.6961188
"Korea, Rep.",628838.7211,594982.1988,1.57E+12,1.47E+12,105,40.339852,127.510093
Kosovo,104116.6043,99381.168,13820023516,12667675354,106,42.602636,20.902977
Kuwait,93785.56855,89301.4427,2.21E+11,2.39E+11,107,29.31166,47.481766
Kyrgyz Republic,13008.5431,11873.2617,16810323180,16104295065,108,41.20438,74.766098
Lao PDR,38034.96363,21335.613,23888227745,20086359308,109,19.85627,102.495496
Latvia,14670.0039,14204.6668,36917843178,42383912500,110,56.879635,24.603189
Lebanon,,18270.36045,74106430637,61079319349,111,33.854721,35.862285
Lesotho,3425.278898,2543.498,4337539783,4131327830,112,-29.609988,28.233608
Liberia,2758.546871,2863.1407,3977186654,3492215619,113,6.428055,-9.429499
Libya,77780.08973,74238.8201,1.85E+11,1.74E+11,114,26.3351,17.228331
Lithuania,26786.483,26732.648,62112596123,66344339089,116,55.169438,23.881275
Luxembourg,13034.81576,12702.3411,43434533307,42362971851,117,49.815273,6.129583
Madagascar,117231.0406,94468.136,32465467745,32964271662,119,-18.766947,46.869107
Malawi,21415.53718,17735.299,14857433209,12589272656,120,-13.254308,34.301525
Malaysia,263676.106,256755.874,5.79E+11,5.36E+11,121,4.210484,101.975766
Mali,76827.88145,86890.413,26895625109,23904445314,123,17.570692,-3.996166
Mauritania,12951.00656,11721.4539,14298541792,13655394672,126,21.00789,-10.940835
Mauritius,76827.88145,86890.413,19629432102,17857009377,127,-20.348404,57.552152
Mexico,643375.4336,644167.96,1.74E+12,1.65E+12,128,23.634501,-102.552784
"Micronesia, Fed. Sts.",643376.4336,644168.96,336075697.3,318920730.9,129,7.425554,150.550812
Moldova,11338.70777,11170.1713,18302326302,17834433607,130,47.411631,28.369885
Mongolia,24860.37811,46513.8,20621063955,19263123792,132,46.862496,103.846656
Morocco,76087.37885,72650.847,2.08E+11,1.88E+11,134,31.791702,-7.09262
Mozambique,379823.5504,363780.5718,22568192362,19555828701,135,14.641528,-61.024174
Myanmar,325367.1391,189004.373,1.64E+11,1.33E+11,136,21.913965,95.956223
Namibia,37647.5718,28595.4652,17750728454,16373306774,137,-22.95764,18.49041
Nauru,37648.5718,28596.4652,59737237.35,48346989.19,138,-0.522778,166.931503
Nepal,32738.69186,32026.569,51265175555,45899690623,139,28.394857,84.124008
Netherlands,212418.455,205061.312,7.49E+11,7.63E+11,140,52.132633,5.291266
New Zealand,76141.65783,81442.9,1.36E+11,1.27E+11,142,-40.900557,174.885971
Nicaragua,15794.34981,15791.953,23185868396,22526699749,143,12.865416,-85.207229
Niger,11219.50511,10491.4259,17354777267,15415541976,144,17.607789,8.081666
Nigeria,292211.7354,316058.63,7.45E+11,6.27E+11,145,9.081999,8.675277
North Macedonia,12257.54353,11742.8238,23362616602,21537188176,146,41.608635,21.745275
Northern Mariana Islands,12.24371151,11.3841499,23362616603,21537188177,147,17.33083,145.38469
Norway,65710.06421,71002.7568,2.83E+11,2.94E+11,148,60.472024,8.468946
Oman,59041.97958,55220.8011,1.40E+11,1.24E+11,149,21.512583,55.923255
Pakistan,354528.6222,338551.92,6.98E+11,6.55E+11,150,30.375321,69.345116
Panama,15428.76051,15082.5873,55199558082,50540676374,152,8.537981,-80.782127
Papua New Guinea,10667.59649,9516.4689,22222378561,18534820440,153,-6.314993,143.95555
Paraguay,50027.503,54092.028,62436669856,55251859054,154,-23.442503,-58.443832
Peru,71614.29402,63708.119,2.82E+11,2.53E+11,155,-9.189967,-75.015152
Philippines,159940.4528,152332.054,5.29E+11,4.76E+11,156,12.879721,121.774017
Poland,426485.8684,420981.528,8.01E+11,6.98E+11,157,51.919438,19.145136
Portugal,71681.46844,74433.765,2.88E+11,2.82E+11,158,39.399872,-8.224454
Puerto Rico,3199.245683,3067.96985,1.15E+11,1.16E+11,159,18.220833,-66.590149
Qatar,98391.53385,83149.36557,2.45E+11,1.80E+11,160,25.354826,51.183884
Romania,117930.698,136834.935,3.44E+11,3.45E+11,161,45.943161,24.96676
Russian Federation,2603289.63,2995286.6,2.93E+12,2.88E+12,162,61.52401,105.318756
Rwanda,6547.474913,5183.7427,13608715660,11706464629,163,-1.940278,29.873888
Samoa,340.9776821,330.23679,996867119.9,1022427284,164,-13.759029,-172.104629
Sao Tome and Principe,185.4516318,175.963732,518907727.2,465906433.7,166,0.18636,6.613081
Saudi Arabia,446765.124,446765.124,1.41E+12,1.35E+12,167,23.885942,45.079162
Senegal,53407.57105,51876.505,33757939112,31321948251,168,14.497401,-14.452362
Serbia,53408.57105,51877.505,93380418026,92848457432,169,44.016521,21.005859
Seychelles,854.0721844,806.416085,1740448419,1629434661,170,-4.679574,55.491977
Sierra Leone,11647.49051,33083.703,7275897100,6566100375,171,8.460555,-11.779889
Singapore,52731.99882,50059.9548,3.82E+11,3.27E+11,172,1.352083,103.819836
Sint Maarten (Dutch part),52732.99882,50060.9548,1165817086,3.27E+11,173,52.7559345,4.7505476
Slovak Republic,49973.282,49160.98894,1.36E+11,1.28E+11,174,48.669026,19.699024
Slovenia,21893.6609,23252.2604,57043842484,59839627542,175,46.151241,14.995463
Solomon Islands,4479.829996,4411.7304,967480307,932795274.6,176,-9.64571,160.156194
Somalia,21461.80546,21450.946,967480308,932795275.6,177,5.152149,46.199616
Spain,354618.0226,404869.429,1.48E+12,1.53E+12,180,40.463667,-3.74922
Sri Lanka,29131.29052,27954.9991,1.66E+11,1.46E+11,181,7.873054,80.771797
St. Kitts and Nevis,29132.29052,27955.9991,1082992637,1114020579,182,17.357822,-62.782998
St. Lucia,563.9158825,533.67247,2160986391,2147212586,183,13.909444,-60.978893
St. Vincent and the Grenadines,301.5628538,284.790058,1097686056,1138086391,185,12.984305,-61.287228
Sudan,487562.7337,572341.41,1.40E+11,1.33E+11,186,12.862807,30.217636
Suriname,487563.7337,3262.83885,7168881187,6491420321,187,3.919305,-56.027783
Sweden,71434.70981,69993.2847,3.96E+11,3.89E+11,188,60.128161,18.643501
Switzerland,57154.18273,56634.8927,4.16E+11,4.02E+11,189,46.818188,8.227512
Syrian Arab Republic,73021.03502,70097.5424,4.16E+11,4.02E+11,190,34.6401861,39.0494106
Tajikistan,14727.20554,14274.5997,17527119634,15536794781,191,38.861034,71.276093
Tanzania,234147.1609,201404.515,89922723311,78805478986,192,-6.369028,34.888822
Thailand,421227.831,357708.275,8.87E+11,8.15E+11,193,15.870032,100.992541
Timor-Leste,940.4596433,912.7317,2148242869,1750471816,194,-8.874217,125.727539
Togo,22578.11968,27174.075,7348529661,6437984956,195,8.619543,0.824782
Tonga,151.934446,147.585116,508418596.7,470713194.5,196,-21.178986,-175.198242
